,state,regional_division,population,article_title,revision_id,article_quality
0,Alabama,East South Central,5074296.0,"Abbeville, Alabama",1171163550,C
1,Alabama,East South Central,5074296.0,"Adamsville, Alabama",1177621427,C
2,Alabama,East South Central,5074296.0,"Addison, Alabama",1168359898,C
3,Alabama,East South Central,5074296.0,"Akron, Alabama",1165909508,GA
4,Alabama,East South Central,5074296.0,"Alabaster, Alabama",1179139816,C
5,Alabama,East South Central,5074296.0,"Albertville, Alabama",1179198677,C
6,Alabama,East South Central,5074296.0,"Alexander City, Alabama",1179140073,GA
7,Alabama,East South Central,5074296.0,"Aliceville, Alabama",1167792390,GA
8,Alabama,East South Central,5074296.0,"Allgood, Alabama",1165909718,C
9,Alabama,East South Central,5074296.0,"Altoona, Alabama",1165909823,C
10,Alabama,East South Central,5074296.0,"Andalusia, Alabama",1179141586,C
11,Alabama,East South Central,5074296.0,"Anderson, Lauderdale County, Alabama",662691565,Stub
12,Alabama,East South Central,5074296.0,"Anniston, Alabama",1176049382,C
13,Alabama,East South Central,5074296.0,"Arab, Alabama",1171375371,C
14,Alabama,East South Central,5074296.0,"Ardmore, Alabama",1176903479,GA
15,Alabama,East South Central,5074296.0,"Argo, Alabama",1177623964,C
16,Alabama,East South Central,5074296.0,"Ariton, Alabama",1166014478,C
17,Alabama,East South Central,5074296.0,"Arley, Alabama",1166014498,C
18,Alabama,East South Central,5074296.0,"Ashford, Alabama",1166014593,C
19,Alabama,East South Central,5074296.0,"Ashland, Alabama",1174331705,C
20,Alabama,East South Central,5074296.0,"Ashville, Alabama",1148844011,C
21,Alabama,East South Central,5074296.0,"Athens, Alabama",1175308807,C
22,Alabama,East South Central,5074296.0,"Atmore, Alabama",1167926420,C
23,Alabama,East South Central,5074296.0,"Attalla, Alabama",1165507856,C
24,Alabama,East South Central,5074296.0,"Auburn, Alabama",1179878794,C
25,Alabama,East South Central,5074296.0,"Autaugaville, Alabama",1166014815,C
26,Alabama,East South Central,5074296.0,"Avon, Alabama",1166014861,Start
27,Alabama,East South Central,5074296.0,"Babbie, Alabama",1168820544,Start
28,Alabama,East South Central,5074296.0,"Baileyton, Alabama",1166014939,C
29,Alabama,East South Central,5074296.0,"Bakerhill, Alabama",1166014954,Start
30,Alabama,East South Central,5074296.0,"Banks, Alabama",1166014997,C
31,Alabama,East South Central,5074296.0,"Bay Minette, Alabama",1177963600,C
32,Alabama,East South Central,5074296.0,"Bayou La Batre, Alabama",1177999052,C
33,Alabama,East South Central,5074296.0,"Bear Creek, Alabama",1166015184,GA
34,Alabama,East South Central,5074296.0,"Beatrice, Alabama",1166015214,C
35,Alabama,East South Central,5074296.0,"Beaverton, Alabama",1166015251,Start
36,Alabama,East South Central,5074296.0,"Belk, Alabama",1166015313,C
37,Alabama,East South Central,5074296.0,"Benton, Alabama",1166015434,C
38,Alabama,East South Central,5074296.0,"Berlin, Alabama",1166015476,Start
39,Alabama,East South Central,5074296.0,"Berry, Alabama",1166015515,C
40,Alabama,East South Central,5074296.0,"Bessemer, Alabama",1178999596,C
41,Alabama,East South Central,5074296.0,"Billingsley, Alabama",1166015695,Start
42,Alabama,East South Central,5074296.0,"Birmingham, Alabama",1179944837,B
43,Alabama,East South Central,5074296.0,"Black, Alabama",1166015772,Start
